,Name,Exercise-Needs,Height
236,manchester-terrier,4,15
237,mastador,4,28
238,mastiff,4,27
239,miniature-pinscher,4,10
240,miniature-schnauzer,4,12
241,morkie,4,4
242,mudi,4,14
243,neapolitan-mastiff,3,24
244,newfoundland,3,25
245,norfolk-terrier,4,9
246,norwegian-buhund,5,16
247,norwegian-elkhound,4,19
248,norwegian-lundehund,5,12
249,norwich-terrier,5,10
250,nova-scotia-duck-tolling-retriever,5,17
251,old-english-sheepdog,4,21
252,otterhound,5,24
253,papillon,4,8
254,papipoo,5,10
255,peekapoo,3,11
256,pekingese,2,6
257,pembroke-welsh-corgi,4,10
258,petit-basset-griffon-vendeen,5,13
259,pharaoh-hound,3,21
260,pitsky,5,16
261,plott,4,20
262,pocket-beagle,4,7
263,pointer,5,23
264,polish-lowland-sheepdog,4,17
265,pomapoo,3,8
266,pomchi,4,6
267,pomeagle,4,6
268,pomeranian,3,7
269,pomsky,3,10
270,poochon,4,9
271,poodle,4,22
272,portuguese-podengo-pequeno,4,8
273,portuguese-water-dog,5,17
274,pug,4,10
275,pugalier,4,10
276,puggle,3,13
277,puli,5,16
278,pyrenean-shepherd,5,15
279,rat-terrier,5,13
280,redbone-coonhound,5,21
281,rhodesian-ridgeback,5,24
282,rottador,5,24
283,rottle,4,12
284,rottweiler,4,22
285,saint-berdoodle,3,15
286,saint-bernard,3,26
287,saluki,4,23
288,samoyed,4,19
289,samusky,4,20
290,schipperke,5,10
291,schnoodle,4,15
292,scottish-deerhound,5,28
293,scottish-terrier,4,10
294,sealyham-terrier,4,10
295,sheepadoodle,4,16
296,shepsky,5,20
297,shetland-sheepdog,4,13
298,shiba-inu,3,13
299,shichon,4,9
300,shih-tzu,3,9
301,shih-poo,3,8
302,shiranian,3,7
303,shollie,4,21
304,shorkie,4,6
305,siberian-husky,5,20
306,silken-windhound,4,18
307,silky-terrier,4,9
308,skye-terrier,4,9
309,sloughi,4,24
310,small-munsterlander-pointer,5,19
311,soft-coated-wheaten-terrier,4,17
312,spanish-mastiff,3,26
313,springador,4,18
314,stabyhoun,4,19
315,staffordshire-bull-terrier,4,14
316,standard-schnauzer,5,17
317,sussex-spaniel,2,13
318,swedish-vallhund,5,11
319,terripoo,4,9
320,tibetan-mastiff,3,24
321,tibetan-spaniel,4,10
322,tibetan-terrier,5,14
323,toy-fox-terrier,5,8
324,treeing-tennessee-brindle,4,16
325,treeing-walker-coonhound,4,20
326,valley-bulldog,4,12
327,vizsla,5,21
328,weimaraner,5,23
329,welsh-springer-spaniel,5,17
330,welsh-terrier,5,14
331,west-highland-white-terrier,4,10
332,westiepoo,4,11
333,whippet,4,18
334,whoodle,4,12
335,wirehaired-pointing-griffon,4,20
336,xoloitzuintli,3,18
337,yorkipoo,4,7
338,yorkshire-terrier,5,8
