,Name,Address,lat,lon
87,DOHERTY PLAYGROUND (ENSIGN JOHN J. DOHERTY JR. PLAYGROUND),349 Bunker Hill Street,42.38240435,-71.067849065791
88,WALNUT PARK PLAY AREA,345 Walnut Avenue,42.3140458125,-71.09434512499999
89,GARVEY PLAYGROUND (WM. H. GARVEY PLAYGROUND),340 Neponset Avenue,42.288369,-71.0469405
90,PETER LOONEY PARK,34 Union Street,42.34504835,-71.14900585000001
91,PARKMAN MEMORIAL,330 Perkins Street,42.318551298969076,-71.12656221649485
92,LOPRESTI PARK (SENATOR MICHAEL LOPRESTI SR. PARK),33 Sumner Street,42.31876415,-71.06168541645496
93,COPPENS SQUARE (REVEREND FRANCIS X. COPPENS SQUARE),325 Bowdoin Street,42.307682487179484,-71.06530779487179
94,CHILDE HASSAM PARK,324 Columbus Avenue,42.3470052195122,-71.0735892682927
95,CRAWFORD STREET PLAYGROUND,320 Walnut Avenue,42.316248,-71.093181
96,BAY VILLAGE GARDEN,32 Melrose Street,42.349080515260844,-71.06841553545095
97,SCHOOL STREET PARK,307 Washington Street,42.357135,-71.0584464
98,MILLENNIUM PARK,300 Gardner Street,42.28217935,-71.18102445
99,CONDOR STREET URBAN WILD,300 Condor Street,42.382655,-71.030442
100,ROGERS PARK,30 Rogers Park Avenue,42.34751039130435,-71.16076904347827
101,ROTCH PLAYGROUND (LESTER J. ROTCH PLAYGROUND),30 Randolph Street,42.34127245,-71.0641216
102,MOUNT PLEASANT PLAY AREA,30 Mt Pleasant Ave,42.32733522222222,-71.07933333333334
103,MCCONNELL PARK,30 Denny Street,42.30918690931791,-71.05079643693198
104,BRIGHTON COMMON,30 Chestnut Hill Ave,42.3356911,-71.1504969
105,BREWER-BURROUGHS PLAYGROUND,2P Brewer Street,42.311982,-71.115218
106,ELLIOT NORTON PARK,295 Tremont Street,42.354828049999995,-71.18026
107,HARVARD MALL (JOHN HARVARD MALL),29 Harvard Street,42.3496023,-71.06272729478276
